mean_CRS,mean_R_final,pct_reduction_vs_classical,pct_diff_vs_ufmb,mean_ldf_active,disc_correction_pct,ampl_correction_pct,n_neutral,n_disc,n_ampl
20.908625,21.2075,49.44727511099193,14.264547413793109,1.0209352941176473,-12.196063429240104,22.536852594704218,63,10,7
20.262999999999998,20.750999999999998,54.7643636660899,11.804956896551719,1.0230407407407407,-10.802290098747523,21.39116538673681,53,16,11
16.824624999999997,17.02375,62.82141228949014,-8.277209051724132,1.0006666666666668,-10.188592261437124,20.610653080693275,47,22,11
16.344625,16.697125,50.6819323015123,-10.037042025862064,1.0057592592592592,-10.260520027983672,22.25235464411313,53,18,9
18.667375,19.1545,56.19400467687804,3.2031250000000004,1.0375031250000002,-9.588231327531382,18.832652462999363,48,17,15
18.313750000000002,18.78575,50.552429835817456,1.2163254310344906,1.080957142857143,-12.310812329100743,21.301659618680052,52,11,17
15.837875000000002,15.946250000000003,55.84407493042767,-14.08270474137929,1.0146028571428574,-11.30711034035938,23.1039571218135,45,22,13
21.485750000000003,21.87475,50.564279882821886,17.859644396551726,1.025565,-9.278947338432655,20.26034099532373,60,12,8
16.7415,17.246499999999997,48.18303363528476,-7.077047413793111,1.0303766666666665,-12.666495056520954,23.60927044426067,50,17,13
20.833125000000003,20.821500000000004,59.57863471240435,12.184806034482786,0.9725766666666665,-12.638894846108265,24.443341481466547,50,22,8
20.903499999999998,20.684500000000003,59.626016815580016,11.446659482758646,1.0042692307692307,-14.591355652530869,24.443884455796514,54,16,10
20.624000000000002,20.998375,58.267209897398956,13.1377963362069,1.0345777777777778,-8.23627185959943,23.290894311243942,53,17,10
15.539375000000001,15.579374999999999,53.13698506519876,-16.059401939655174,0.9642750000000001,-12.018459162729592,27.39288723089072,52,22,6
17.023,17.362125,53.41871742761133,-6.454067887931034,1.03288,-10.67251127727045,24.235142516464663,55,15,10
21.836875,21.909124999999996,52.95631751996244,18.044854525862057,1.0035105263157897,-9.890830314238235,25.440845704511503,42,27,11
18.323625,18.336750000000002,54.9714531278777,-1.2028556034482578,1.000846153846154,-13.871841608928532,26.43313864247951,54,17,9
22.934125,23.5075,54.31644714787518,26.65678879310346,1.0536344827586206,-11.077690434999795,22.99914351586538,51,15,14
16.7365,17.351875,50.57132378337768,-6.509294181034478,1.0501677419354838,-13.203802115352039,27.13134480733539,49,17,14
